run,expression,n_vectors,min,median,itr/sec,mem_alloc,gc/sec,n_itr,n_gc,total_time,sd
10_100,parallelDist_8,90,1.2226891703903675e-4,1.7759297043085098e-4,5847.501504192821,35640,5.853354859051873,999,1,0.17084219632670283,1.6496898435673781e-4
10_100,stats,100,0.0016670271288603544,0.0017011305899359286,582.8862000677243,39648,0,1000,0,1.715600746567361,4.864915947179059e-5
10_100,proxy,100,0.0019083900842815638,0.002005562069825828,490.0167910729026,122152,1.4744737946025153,997,3,2.034624156076461,3.091405717344199e-4
10_100,proxyC,100,0.001266135019250214,0.0013539345818571746,719.7837014387175,582128,7.270542438774924,990,10,1.3754131942987442,7.011276768154424e-4
10_100,distances,100,7.325701881200075e-5,8.111214265227318e-5,10949.82124938078,280192,55.02422738382302,995,5,0.09086906327866018,3.5325326613465537e-4
10_100,distances_matrix,100,4.221810959279537e-4,4.7331710811704397e-4,2013.6712975856315,719888,26.522519623721593,987,13,0.4901495100930333,6.102324297485109e-4
10_100,Rfast,100,1.6871618572622538e-4,1.8586800433695316e-4,5011.965227059754,162648,15.081139098474686,997,3,0.19892396591603756,3.4798957203966427e-4
10_100,rcpp_serial,100,2.839131047949195e-4,3.0574307311326265e-4,3008.6413837696177,82600,3.011653036806424,999,1,0.3320435613859445,1.925280615687012e-4
10_100,rcpp_parallel_8,100,5.2067916840314865e-5,6.389495683833957e-5,8185.16264253746,82600,16.403131548171263,998,2,0.12192793760914356,3.8081511040458836e-4
10_100,fortran_serial,100,3.2002106308937073e-4,3.439451102167368e-4,2740.524394244543,240144,11.00612206523913,996,4,0.3634340938879177,3.1844611148226895e-4
10_100,fortran_parallel_8,100,3.184269880875945e-4,3.329994506202638e-4,2960.9220899527127,240144,11.891253373304068,996,4,0.33638169791083783,0.0054319328846736325
10_100,c_fortran_serial,100,2.7288100682199e-4,2.805666299536824e-4,3506.7631890648477,0,0,1000,0,0.2851632534293458,1.801820948312358e-5
10_100,c_fortran_parallel_8,100,2.7489603962749243e-4,2.8185348492115736e-4,3509.085246114317,0,0,1000,0,0.2849745531566441,1.4320645119404177e-5
10_100,GPUmatrix,100,4.7516205813735723e-4,5.045470898039639e-4,1936.305820704879,23296,3.880372386182122,998,2,0.5154144502012059,3.373535515437917e-4
10_100,parallelDist_1,100,5.405839765444398e-4,5.560779827646911e-4,1735.0003680975724,43200,0,1000,0,0.576368753798306,7.665009095749031e-5
